,open,close,high,low,prediction_h,prediction_l,cumulative_capital,trade_profit,cumulative_volume
32,67737.5,67576.9,67765.4,67512.2,68966.97313290834,68762.00121062994,331.75,[-20.250000000000018],66000
33,67520.1,67738.3,67743.9,67409.9,68966.97313290834,68762.00121062994,311.5,[-20.250000000000018],68000
34,67607.6,67520.0,67615.6,67314.2,68966.97313290834,68762.00121062994,291.25,[-20.250000000000018],70000
35,67336.0,67607.5,67702.8,67329.2,68966.97313290834,68762.00121062994,271.0,[-20.250000000000018],72000
36,67463.9,67336.0,67715.2,67335.3,68966.97313290834,68762.00121062994,250.74999999999997,[-20.250000000000018],74000
37,67729.2,67463.9,67851.7,66950.1,68966.97313290834,68762.00121062994,230.49999999999994,[-20.250000000000018],76000
38,67990.7,67729.3,68175.0,67679.9,68966.97313290834,68762.00121062994,210.24999999999991,[-20.250000000000018],78000
39,68330.4,67988.9,68364.2,67929.4,68966.97313290834,68762.00121062994,189.9999999999999,[-20.250000000000018],80000
40,68267.6,68326.3,68401.4,68004.2,69237.24194413424,68893.12989622355,169.74999999999986,[-20.250000000000018],82000
41,68346.3,68269.8,68351.9,68123.2,69237.24194413424,68893.12989622355,149.49999999999983,[-20.250000000000018],84000
42,68531.8,68346.3,68539.9,68264.3,69237.24194413424,68893.12989622355,129.2499999999998,[-20.250000000000018],86000
43,68100.1,68531.8,68666.6,68093.7,69237.24194413424,68893.12989622355,108.99999999999979,[-20.250000000000018],88000
44,67538.5,68100.1,68300.0,67427.6,68966.97313290834,68762.00121062994,88.74999999999977,[-20.250000000000018],90000
45,68824.2,67536.4,69230.6,67244.0,68966.97313290834,68762.00121062994,86.4255387943724,[-2.324461205627376],92000
46,69801.1,68824.2,69818.7,68580.5,68796.46420162916,68633.87864136696,2069.453433288398,[1983.027894494026],94000
47,69612.0,69801.1,69871.7,69488.0,69138.5457918644,68884.35180926323,4049.203433288398,[1979.75],96000
