ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1717173000000,66988.0,67222.2,66873.9,67197.6,272.36906444,18257307.083925053,18257307.083925053,1
1717171200000,67209.7,67346.9,66654.1,66988.1,719.46210384,48153231.05738989,48153231.05738989,1
1717169400000,67455.1,67466.8,67200.1,67209.6,207.56025206,13972279.196480408,13972279.196480408,1
1717167600000,67488.0,67539.9,67240.0,67454.8,186.55974985,12573903.672875337,12573903.672875337,1
1717165800000,67747.1,67847.2,67255.3,67485.6,718.68144698,48495997.143658355,48495997.143658355,1
1717164000000,68075.5,68077.0,67662.7,67748.1,415.74292758,28211611.135999016,28211611.135999016,1
1717162200000,68700.7,68776.1,68016.4,68074.9,293.17417687,20023981.467674103,20023981.467674103,1
1717160400000,68632.3,68817.5,68611.6,68704.0,109.76207569,7542899.906176616,7542899.906176616,1
1717158600000,68557.3,69049.6,68528.5,68632.3,407.93634502,28090004.356377695,28090004.356377695,1
1717156800000,68355.9,68588.0,68323.6,68557.3,104.0672894,7123350.694661104,7123350.694661104,1
1717155000000,68303.4,68462.3,68296.0,68356.0,67.69655846,4630138.090791969,4630138.090791969,1
1717153200000,68331.4,68431.2,68278.1,68303.5,83.14710103,5684503.642892659,5684503.642892659,1
1717151400000,68151.4,68331.4,68100.5,68331.3,139.44418927,9513486.665976103,9513486.665976103,1
1717149600000,67949.3,68268.0,67926.1,68151.4,80.14748736,5463477.025163012,5463477.025163012,1
1717147800000,67927.5,68008.0,67876.0,67949.2,56.32278917,3826230.408677682,3826230.408677682,1
1717146000000,68128.8,68186.2,67870.7,67927.5,82.47521989,5609320.438652622,5609320.438652622,1
1717144200000,68208.6,68275.8,68128.7,68128.8,33.32660434,2272619.707855757,2272619.707855757,1
1717142400000,68169.5,68313.5,68155.7,68208.6,49.07480533,3348674.026516827,3348674.026516827,1
1717140600000,68354.9,68355.0,68070.1,68169.5,198.16714408,13510522.346887236,13510522.346887236,1
1717138800000,68275.8,68423.3,68252.1,68354.9,135.55142105,9261711.099054463,9261711.099054463,1
1717137000000,68392.1,68416.0,68210.5,68275.8,43.95169879,3001841.043689215,3001841.043689215,1
1717135200000,68440.2,68459.3,68262.5,68392.1,51.25731767,3503647.273292031,3503647.273292031,1
1717133400000,68371.8,68467.3,68300.0,68440.2,49.19075507,3364154.743031585,3364154.743031585,1
1717131600000,68518.6,68518.6,68287.2,68371.7,115.07983575,7869463.429464372,7869463.429464372,1
1717129800000,68521.4,68580.0,68462.3,68518.5,148.36976863,10165546.442863489,10165546.442863489,1
1717128000000,68533.1,68654.7,68514.5,68520.9,42.97652418,2947907.122786425,2947907.122786425,1
1717126200000,68505.2,68631.6,68490.0,68533.0,82.68193552,5670011.625781522,5670011.625781522,1
1717124400000,68542.5,68563.9,68490.1,68505.3,39.43510499,2702072.402650978,2702072.402650978,1
1717122600000,68529.3,68605.3,68499.9,68542.6,41.29807947,2830346.331988203,2830346.331988203,1
1717120800000,68455.5,68748.7,68433.4,68529.2,354.13259637,24287896.74111821,24287896.74111821,1
1717119000000,68520.0,68589.4,68312.6,68455.4,221.22564956,15151275.590452546,15151275.590452546,1
1717117200000,68473.8,68659.3,68423.7,68520.0,316.79954989,21718689.18299269,21718689.18299269,1
1717115400000,68325.2,68491.5,68277.1,68473.8,109.39402341,7481046.350997639,7481046.350997639,1
1717113600000,68358.5,68447.6,68302.9,68325.2,33.7430721,2306778.100513736,2306778.100513736,1
1717111800000,68452.2,68484.4,68330.8,68357.9,30.30018673,2072196.945623452,2072196.945623452,1
1717110000000,68317.8,68526.9,68250.1,68452.3,50.3333926,3440951.58454288,3440951.58454288,1
1717108200000,68365.2,68392.8,68291.4,68317.8,29.46199409,2013500.400686112,2013500.400686112,1
1717106400000,68416.4,68443.6,68234.1,68365.2,51.20255191,3498591.278488084,3498591.278488084,1
1717104600000,68381.0,68536.0,68354.6,68416.4,24.39529615,1669382.177440733,1669382.177440733,1
1717102800000,68474.2,68506.9,68324.3,68381.1,29.53562084,2020683.695958019,2020683.695958019,1
1717101000000,68451.9,68544.8,68349.1,68471.4,37.68905224,2579952.034176773,2579952.034176773,1
1717099200000,68666.3,68673.1,68039.6,68450.5,153.47709079,10478249.127224715,10478249.127224715,1
1717097400000,68968.8,69080.0,68430.9,68666.2,167.91811047,11533394.33595767,11533394.33595767,1
1717095600000,69370.6,69377.6,68904.1,68965.6,90.89783808,6283679.70772465,6283679.70772465,1
1717093800000,69290.6,69375.0,69115.4,69370.8,75.24770469,5212219.379059665,5212219.379059665,1
1717092000000,69320.0,69423.9,69084.1,69290.6,121.47544101,8414906.64001474,8414906.64001474,1
1717090200000,69024.3,69515.0,69024.3,69319.9,490.60954271,34013332.57966705,34013332.57966705,1
1717088400000,68686.8,69135.6,68673.2,69024.3,343.86934815,23714432.842201974,23714432.842201974,1
1717086600000,68422.8,68710.0,68395.7,68686.8,128.25904066,8788957.109469391,8788957.109469391,1
1717084800000,68532.0,68600.0,68350.6,68422.5,134.14659464,9183311.051901976,9183311.051901976,1
1717083000000,68423.6,68619.9,68362.5,68532.1,178.99006768,12264674.79508404,12264674.79508404,1
1717081200000,68362.3,68468.7,68147.3,68423.5,108.17220144,7388626.904512507,7388626.904512507,1
1717079400000,68662.9,68754.9,68260.0,68362.4,185.42938777,12699094.583715498,12699094.583715498,1
1717077600000,68615.9,68823.9,68468.0,68663.0,412.04510176,28296345.568675894,28296345.568675894,1
1717075800000,68201.1,68678.1,68053.6,68616.0,510.0983124,34912458.15797839,34912458.15797839,1
1717074000000,68143.1,68380.0,68052.7,68201.1,184.74722883,12607577.361184739,12607577.361184739,1
1717072200000,68030.8,68324.6,67866.7,68143.1,353.52121088,24093080.858348977,24093080.858348977,1
1717070400000,67799.5,68057.9,67733.3,68030.8,434.45043474,29470142.621495467,29470142.621495467,1
1717068600000,68100.4,68107.3,67795.4,67799.7,386.72705813,26246022.914518528,26246022.914518528,1
1717066800000,67942.6,68115.7,67864.9,68100.4,117.47422322,7985633.252331698,7985633.252331698,1
1717065000000,67705.8,67993.2,67704.0,67942.6,179.54086048,12178293.787073512,12178293.787073512,1
1717063200000,67745.9,67749.0,67547.2,67705.8,128.1609972,8670572.851929896,8670572.851929896,1
1717061400000,67573.1,67757.0,67467.8,67742.1,73.82992055,4993982.39637948,4993982.39637948,1
1717059600000,67692.4,67759.1,67572.6,67573.1,79.38413651,5370788.549407606,5370788.549407606,1
1717057800000,67390.0,67768.0,67389.9,67692.4,161.5765083,10910809.19884092,10910809.19884092,1
1717056000000,67587.2,67647.3,67123.9,67390.0,312.09239806,21009104.239786055,21009104.239786055,1
1717054200000,67789.5,68039.5,67520.9,67587.2,192.07800948,13011913.895408576,13011913.895408576,1
1717052400000,67838.0,67932.7,67711.9,67789.5,130.4093303,8844414.160175795,8844414.160175795,1
1717050600000,67924.8,68014.9,67740.3,67837.0,131.13662311,8901344.74268409,8901344.74268409,1
1717048800000,68147.9,68192.0,67800.1,67924.7,170.41630012,11586386.821990851,11586386.821990851,1
1717047000000,68109.0,68156.6,68077.2,68147.9,69.07573921,4705911.020338118,4705911.020338118,1
1717045200000,68177.4,68204.3,67972.8,68108.9,100.47779694,6842107.223860949,6842107.223860949,1
1717043400000,68236.1,68429.9,68138.0,68177.6,242.7092361,16573738.01239371,16573738.01239371,1
1717041600000,68130.4,68267.2,67989.7,68236.3,306.98115523,20915468.916691095,20915468.916691095,1
1717039800000,68001.9,68188.0,67996.2,68131.6,114.03128552,7766832.118186156,7766832.118186156,1
1717038000000,67945.7,68035.8,67911.7,68001.9,69.09970718,4697363.96650185,4697363.96650185,1
1717036200000,68117.8,68229.2,67940.3,67945.7,193.86539442,13206538.535161398,13206538.535161398,1
1717034400000,67803.3,68134.3,67778.6,68117.8,245.81919563,16720329.83327902,16720329.83327902,1
1717032600000,67647.3,67863.1,67623.9,67806.6,85.31165301,5779980.719051606,5779980.719051606,1
1717030800000,67575.3,67725.7,67469.8,67647.3,74.0522388,5007317.123578304,5007317.123578304,1
1717029000000,67732.1,67770.4,67538.3,67575.2,55.06788254,3724771.265150771,3724771.265150771,1
1717027200000,67647.6,67844.3,67625.5,67732.1,87.65915103,5939223.160285402,5939223.160285402,1
1717025400000,67716.0,67716.0,67572.0,67647.7,45.78037581,3096104.765135508,3096104.765135508,1
1717023600000,67679.0,67730.2,67620.0,67716.0,36.78823997,2490093.995793734,2490093.995793734,1
1717021800000,67752.4,67775.0,67637.2,67679.0,31.44484227,2128120.213659576,2128120.213659576,1
1717020000000,67694.8,67827.3,67600.1,67752.1,40.32159735,2729195.137438309,2729195.137438309,1
1717018200000,67434.7,67843.2,67322.3,67694.9,64.57110197,4368771.790141847,4368771.790141847,1
1717016400000,67469.5,67528.3,67370.9,67441.5,36.66392044,2473028.770533075,2473028.770533075,1
1717014600000,67288.8,67488.0,67288.8,67469.5,21.37702002,1440493.972346647,1440493.972346647,1
1717012800000,67267.4,67340.3,67142.1,67286.4,48.37206691,3252989.698442266,3252989.698442266,1
1717011000000,67715.2,67722.8,67222.3,67266.2,107.57349704,7251820.130507502,7251820.130507502,1
1717009200000,67397.7,67769.9,67355.1,67715.9,60.17740176,4066994.321021832,4066994.321021832,1
1717007400000,67321.9,67475.5,67220.1,67397.6,50.20869037,3382014.585048401,3382014.585048401,1
1717005600000,67612.4,67623.0,67305.5,67322.0,65.19590578,4397762.641451731,4397762.641451731,1
1717003800000,67633.5,67690.9,67324.3,67612.3,110.07538253,7437552.629883021,7437552.629883021,1
1717002000000,67560.0,67634.6,67419.4,67633.5,97.78899582,6601291.680024298,6601291.680024298,1
1717000200000,67348.0,67726.9,67344.6,67560.1,127.4435576,8613383.530692317,8613383.530692317,1
1716998400000,67380.1,67528.2,67137.5,67348.1,412.27657688,27736768.14136791,27736768.14136791,1
1716996600000,67672.9,67686.7,67300.0,67380.0,362.41289481,24444004.3554881,24444004.3554881,1
1716994800000,67634.0,67859.8,67370.0,67668.1,218.70468986,14788126.090597628,14788126.090597628,1
1716993000000,67664.1,67835.9,67516.0,67634.0,151.75212953,10270094.856879136,10270094.856879136,1
1716991200000,67893.5,67966.5,67638.4,67664.2,120.84709862,8195840.771654069,8195840.771654069,1
1716989400000,67832.5,67951.7,67591.4,67884.2,176.40049247,11960402.556046668,11960402.556046668,1
1716987600000,67894.7,68272.4,67650.0,67832.5,209.66533016,14255700.463218229,14255700.463218229,1
1716985800000,67843.8,68024.5,67592.9,67894.6,113.4272702,7690786.992958119,7690786.992958119,1
1716984000000,67773.6,68029.5,67759.0,67840.4,89.81327554,6094726.780246135,6094726.780246135,1
1716982200000,67904.0,67946.6,67733.9,67771.9,68.99095884,4680626.025417212,4680626.025417212,1
1716980400000,67994.7,68003.3,67810.9,67904.0,91.7761698,6229610.991377488,6229610.991377488,1
1716978600000,68019.0,68025.3,67844.8,67994.6,74.42623272,5056076.957344618,5056076.957344618,1
1716976800000,67908.0,68028.0,67794.1,68019.0,100.25486578,6811399.862622587,6811399.862622587,1
1716975000000,67777.9,67972.8,67680.0,67904.4,207.20841279,14052611.838816412,14052611.838816412,1
1716973200000,67870.0,68035.0,67705.6,67777.9,132.54242407,8989381.363682535,8989381.363682535,1
